Species	Chemical Name	Freq-MHz(rest frame,redshifted)	Freq Err(rest frame,redshifted)	Meas Freq-MHz(rest frame,redshifted)	Meas Freq Err(rest frame,redshifted)	Resolved QNs	CDMS/JPL Intensity	Lovas/AST Intensity	E_L (cm^-1)	E_L (K)	E_U (cm^-1)	E_U (K)	Linelist
CH3OCN	Methyl cyanate	2124.11120	0.1268			18(3,15)-18(3,16),E	-8.26480		68.11700	98.00581	68.18785	98.10775	CDMS
Ga-n-C3H7OH	<i>n</i>-Propanol	2124.26970	0.0027			54(8,47)-54(7,47)	-8.66440		492.04340	707.94530	492.11426	708.04725	CDMS
NH2CH2CH2OHv=0	Aminoethanol	2124.35550	0.0871			33(5,29)-34(2,32)	-11.00810		197.92250	284.76469	197.99336	284.86664	JPL
aG'g-CH3CHOHCH2OH	1,2-propanediol, aG'g	2124.80490	0.0015			18(3,15)-17(6,12)	-9.79850		39.68720	57.10140	39.75808	57.20337	CDMS
Z-HNCHCN	Cyanomethanimine	2124.88790	0.0038			22(3,19)-22(3,20)	-8.96120		96.81140	139.29092	96.88228	139.39290	CDMS
CH313CHO,vt&le;1	Acetaldehyde	2125.42520	0.0079			15(4,11)-16(3,13)E,vt=1	-9.31650		244.18490	351.32989	244.25580	351.43189	CDMS
CF	Fluoromethylidyne	2126.42330	0.1805			J=13/2,&Omega;=3/2,F=7--7+	-9.13670		66.28070	95.36259	66.35163	95.46465	CDMS
N17O	Nitric oxide	2126.84540	0.0328			J=9/2-9/2,&Omega;=1/2,F1=5/2+-3/2-,F2=3/2+-3/2-	-13.05170		39.01220	56.13022	39.08314	56.23229	CDMS
gGG'g-CH2OHCH2CH2OH	1,3-propanediol, gGG'g	2126.88970	0.0003			33(9,25)-33(8,25),v=0-0	-9.10920		140.59390	202.28458	140.66485	202.38665	CDMS
gGG'g-CH2OHCH2CH2OH	1,3-propanediol, gGG'g	2127.02830	0.0003			33(9,25)-33(8,25),v=1-1	-9.10900		140.59510	202.28630	140.66605	202.38839	CDMS
CH313CHO,vt&le;1	Acetaldehyde	2127.70190	0.0011			21(4,17)-21(4,18)E,vt=0	-8.67100		173.02940	248.95233	173.10037	249.05444	CDMS
15N17O	Nitric oxide	2128.05210	0.0231			J=9/2-9/2,p=-1-1,F1=3-3,F2=4-3	-11.65180		37.61190	54.11549	37.68288	54.21762	CDMS
NH2CH2CH2OHv=0	Aminoethanol	2128.30760	0.007			48(12,36)-48(12,37)	-9.07640		445.89010	641.53270	445.96109	641.63484	JPL
H2CS	Thioformaldehyde	2128.76760	0.0008			11(2,9)-11(2,10)	-8.25500		112.19950	161.42912	112.27051	161.53129	CDMS
H2CS	Thioformaldehyde	2129.00680	0.0072			11(2,9)-11(2,10)	-8.25520		112.22430	161.46481	112.29532	161.56698	JPL
H35ClCO	Formyl Chloride	2130.42120	0.0019			39(4,35)-39(4,36),F=79/2-79/2	-11.21440		346.33820	498.30055	346.40926	498.40279	JPL
H35ClCO	Formyl Chloride	2130.42330	0.0019			39(4,35)-39(4,36),F=77/2-77/2	-11.22550		346.33820	498.30055	346.40926	498.40279	JPL
H35ClCO	Formyl Chloride	2130.47610	0.0019			39(4,35)-39(4,36),F=81/2-81/2	-11.20310		346.33860	498.30112	346.40967	498.40337	JPL
H35ClCO	Formyl Chloride	2130.47820	0.0019			39(4,35)-39(4,36),F=75/2-75/2	-11.23620		346.33870	498.30127	346.40977	498.40351	JPL
CH3COOHv=0	Acetic Acid	2131.22770	0.0027			47(32,15)A2-47(32,16)A1	-10.10790		722.76580	1039.90553	722.83689	1040.00781	CDMS
CH3OCN	Methyl cyanate	2131.44350	0.018			28(4,24)-28(4,25),A	-8.33850		155.73640	224.07140	155.80750	224.17369	CDMS
C4O	Tetracarbon monoxide	2132.13550	0.0008			1(2)-1(1)	-7.46600		0.77910	1.12094	0.85022	1.22327	JPL
NH2CH2CH2OHv27=2	Aminoethanol	2132.19800	0.0027			25(7,18)-25(7,19)	-8.90700		289.97400	417.20550	290.04512	417.30783	JPL
H2NCH2COOH-IIv=1	Glycine	2132.24300	2.4051			35(11,24)-35(11,25),F=35-35	-10.41540		1665.27670	2395.94793	1665.34782	2396.05026	JPL
NO,v=1	Nitric oxide	2132.37170	0.0041			J=13/2-13/2,&Omega;=1/2,F=13/2+-15/2-	-15.92860		1933.96520	2782.56263	1934.03633	2782.66497	CDMS
c-C4H4O	Furan	2132.86210	0.0014			28(26,2)-28(26,3)	-8.48220		251.74800	362.21157	251.81914	362.31394	CDMS
N17O	Nitric oxide	2133.08820	0.0202			J=9/2-9/2,&Omega;=1/2,F1=5/2+-5/2-,F2=5/2+-5/2-	-11.45340		39.01370	56.13238	39.08485	56.23475	CDMS
50TiO2	Titanium dioxide	2133.53310	0.0302			16(5,11)-15(6,10)	-6.89240		87.62070	126.06592	87.69187	126.16831	CDMS
NH2CH2CH2OHv25+v27	Aminoethanol	2133.55830	0.1282			26(7,19)-26(7,20)	-9.44890		542.69830	780.81731	542.76947	780.91970	JPL
t-H13COOH	Formic Acid	2134.11530	0.0027			35(6,29)-35(6,30)	-9.03320		550.38530	791.87712	550.45649	791.97954	CDMS
t-H13COOH	Formic Acid	2134.12180	0.0015			35(6,29)-35(6,30)	-9.04880		550.38530	791.87712	550.45649	791.97954	JPL
HCCCH2OH	Propargyl Alcohol	2134.17120	0.0015			27(4,23)-27(4,24),vt=0-0	-9.57640		127.85160	183.94888	127.92279	184.05130	JPL
NO	Nitric oxide			2134.59500	0.005	J=13/2-13/2,&Omega;=1/2,F=13/2+-15/2-	-11.92750		58.48810	84.15188	58.55930	84.25432	CDMS
NO	Nitric oxide	2134.60170	0.0009			J=11/2,&Omega;=1/2,F=13/2+-11/2-	-11.92750		58.48810	84.15085	58.55930	84.25329	JPL
c-D2C3O	Cyclopropenone	2135.02840	0.012			44(11,33)-44(11,34)	-8.24180		502.93230	723.61210	503.00352	723.71457	CDMS
HCCCH2OD	Propargyl Alcohol	2135.22700	0.1433			3(3,1)-4(4,1),vt=1-0	-8.95830		16.39900	23.59437	16.47022	23.69684	JPL
HCCCH2OD	Propargyl Alcohol	2135.28410	0.1433			3(3,0)-4(4,0),vt=1-0	-8.95830		16.39900	23.59437	16.47023	23.69684	JPL
c-H2C318O	Cyclopropenone	2135.61300	0.0056			32(7,25)-32(7,26)	-7.56940		277.82410	399.72951	277.89534	399.83200	CDMS
17OO	Molecular oxygen	2135.64320	0.0441			N=4-4,J=5-3,F=7/2-7/2	-16.65100		27.66840	39.80843	27.73964	39.91092	JPL
CH313CHO,vt&le;1	Acetaldehyde	2135.67500	0.0157			23(4,19)-24(2,22)E,vt=1	-11.72030		344.48600	495.64174	344.55724	495.74423	CDMS
HCCCH2OH	Propargyl Alcohol	2135.77830	0.0188			51(7,44)-51(7,45),vt=0-0	-10.38770		441.59541	635.35364	441.66665	635.45614	JPL
D2CS	Thioformaldehyde	2136.08360	0.0026			17(3,14)-17(3,15)	-8.34010		184.70470	265.74733	184.77595	265.84985	CDMS
g-CH3CH2OH	gauche-Ethanol	2136.21880	0.0012			17(4,13)-17(4,14),vt=1-1	-9.01220		144.99330	208.61182	145.06456	208.71434	JPL
N2Ov2=1	Nitrous Oxide	2136.68460	0.0212			J=9,l=f-e	-10.78220		626.49240	901.37763	626.56367	901.48018	JPL
N18O	Nitric oxide	2136.73950	0.0339			J=57/2-57/2,&Omega;=1/2,F=55/2+-55/2-	-12.96920		1391.01020	2001.36642	1391.08147	2001.46897	CDMS
c-C6H5OH	Phenol	2137.15150	0.001			67(23,44)-67(23,45),v=0-0	-11.77500		406.16620	584.38334	406.23749	584.48590	CDMS
NH2CH2CH2OHv25+v27	Aminoethanol	2137.20110	10.5641			31(10,21)-32(8,24)	-11.63000		607.28490	873.74248	607.35619	873.84505	JPL
c-C6H5OH	Phenol	2137.37540	0.001			67(23,44)-67(23,45),v=1-1	-11.55060		406.16780	584.38564	406.23909	584.48822	CDMS
H2NCH2COOH-Iv=2	Glycine	2137.52040	0.2163			26(8,18)-26(8,19),F=25-25	-9.30750		95.57170	137.50557	95.64300	137.60815	JPL
H2NCH2COOH-Iv=2	Glycine	2137.52140	0.2163			26(8,18)-26(8,19),F=27-27	-9.27470		95.57170	137.50557	95.64300	137.60815	JPL
H2NCH2COOH-Iv=0	Glycine	2137.53000	0.2163			26(8,18)-26(8,19),F=26-26	-8.81300		95.57170	137.50557	95.64300	137.60815	JPL
H2NCH2COOH-Iv=2	Glycine	2137.54810	0.2163			26(8,18)-26(8,19),F=26-26	-9.29140		95.57170	137.50557	95.64300	137.60815	JPL
c-C6H5CCH	Phenylacetylene	2137.96370	0.0039			63(13,50)-63(13,51)	-10.27760		210.98550	303.56147	211.05681	303.66408	CDMS
NH2CH2CH2OHv26+v27	Aminoethanol	2137.98460	16.7622			48(25,23)-47(26,21)	-11.80540		860.73520	1238.39883	860.80652	1238.50144	JPL
NH2CH2CH2OHv26+v27	Aminoethanol	2137.98460	16.7622			48(25,23)-47(26,22)	-11.12610		860.73520	1238.39883	860.80652	1238.50144	JPL
NH2CH2CH2OHv26+v27	Aminoethanol	2137.98460	16.7622			48(25,24)-47(26,21)	-11.12610		860.73520	1238.39883	860.80652	1238.50144	JPL
NH2CH2CH2OHv26+v27	Aminoethanol	2137.98460	16.7622			48(25,24)-47(26,22)	-11.80540		860.73520	1238.39883	860.80652	1238.50144	JPL
ND3	Ammonia			2138.42100	0.02	18(17)0a-18(17)0s	-7.96740		1187.83900	1709.02553	1187.91033	1709.12815	CDMS
HCCCH2OD	Propargyl Alcohol	2139.32100	0.0991			9(2,7)-9(2,8),vt=1-1	-9.36920		23.59010	33.94070	23.66146	34.04337	JPL
HDCCO	Ketene	2139.39440	0.0057			15(2,13)-15(2,14)	-8.53250		99.97110	143.83529	100.04246	143.93796	CDMS
g'G'g-CH3CHOHCH2OH	1,2-propanediol, g'G'g	2139.44210	0.0677			62(37,25)-61(38,24)	-9.91400		660.26620	949.98196	660.33756	950.08464	CDMS
g'G'g-CH3CHOHCH2OH	1,2-propanediol, g'G'g	2139.44210	0.0677			62(37,26)-61(38,23)	-9.91400		660.26620	949.98196	660.33756	950.08464	CDMS
HC13N	Cyanohexaacetylene	2139.45130	0.0007			J=10-9	-6.74170		0.32110	0.46199	0.39246	0.56467	CDMS
13CH3CHO,vt&le;1	Acetaldehyde	2139.55100	0.0005			14(3,11)-14(3,12)A,vt=1	-8.77190		221.85890	319.20755	221.93027	319.31023	CDMS
c-H2C213CO	Cyclopropenone	2140.21710	0.0084			47(10,37)-47(10,38)	-8.60530		618.74220	890.23780	618.81359	890.34052	CDMS
FeCO	Iron Monocarbonyl	2140.58400	0.0017			N=4-5,J=5-5	-7.62130		49.70060	71.50767	49.77200	71.61040	CDMS
NH2CH2CH2OHv26=1	Aminoethanol	2140.68340	0.0158			44(7,38)-44(6,38)	-9.99320		556.85280	801.18236	556.92421	801.28509	JPL
CH3CHNH2COOH-II	&alpha;-Alanine	2141.35930	0.8101			45(20,25)-45(20,26)	-7.70910		226.13150	325.35490	226.20293	325.45767	CDMS
13CH3CHO,vt&le;1	Acetaldehyde	2141.85090	0.0086			16(1,15)-15(3,12)A,vt=1	-10.73930		231.36390	332.88321	231.43534	332.98600	CDMS
N17O	Nitric oxide	2142.17280	0.0287			J=11/2-11/2,&Omega;=1/2,F1=11/2+-11/2-,F2=13/2+-11/2-	-12.76830		56.90590	81.87543	56.97736	81.97824	CDMS
N18O	Nitric oxide	2142.33990	0.0338			J=57/2-57/2,&Omega;=1/2,F=57/2+-57/2-	-12.95170		1391.00990	2001.36599	1391.08136	2001.46880	CDMS
NH2CH2CH2OHv25=1	Aminoethanol	2142.81410	0.555			29(15,14)-28(16,12)	-11.32830		522.92340	752.36580	522.99488	752.46864	JPL
NH2CH2CH2OHv25=1	Aminoethanol	2142.81410	0.555			29(15,14)-28(16,13)	-10.64260		522.92340	752.36580	522.99488	752.46864	JPL
NH2CH2CH2OHv25=1	Aminoethanol	2142.81410	0.555			29(15,15)-28(16,12)	-10.64260		522.92340	752.36580	522.99488	752.46864	JPL
NH2CH2CH2OHv25=1	Aminoethanol	2142.81410	0.555			29(15,15)-28(16,13)	-11.32830		522.92340	752.36580	522.99488	752.46864	JPL
HCCCH2CN	Propargyl cyanide	2142.94690	0.0354			66(8,58)-66(8,59)	-9.04960		442.22930	636.27346	442.30078	636.37630	CDMS
HC4CHO	Pentadiynal	2143.64770	0.0854			20(0,20)-19(1,19)	-8.18630		18.48040	26.58921	18.55190	26.69209	CDMS
H35ClCO	Formyl Chloride	2143.88030	0.0014			12(2,10)-12(2,11),F=25/2-25/2	-10.66100		40.36920	58.08194	40.44071	58.18483	JPL
H35ClCO	Formyl Chloride	2143.91350	0.0013			12(2,10)-12(2,11),F=23/2-23/2	-10.69660		40.36930	58.08208	40.44081	58.18497	JPL
H2CCCHCN	Cyanoallene	2143.96190	0.0135			4(1,3)-4(1,3),F=3-3	-9.08980		2.46720	3.54973	2.53871	3.65262	CDMS
N17O	Nitric oxide	2143.97690	0.0287			J=11/2-11/2,&Omega;=3/2,F1=15/2+-13/2-,F2=13/2+-11/2-	-12.38510		78.04780	112.29411	78.11932	112.39700	CDMS
H2CCCHCN	Cyanoallene	2144.08100	0.0076			4(1,3)-4(1,5),F=5-5	-8.88320		2.46720	3.54973	2.53872	3.65263	CDMS
c-C6H5CHO	Benzaldehyde	2144.10160	0.0009			33(8,25)-33(8,26)	-8.67740		60.81210	87.49562	60.88362	87.59852	CDMS
H35ClCO	Formyl Chloride	2144.15580	0.0013			12(2,10)-12(2,11),F=27/2-27/2	-10.62300		40.36960	58.08252	40.44112	58.18542	JPL
H35ClCO	Formyl Chloride	2144.18910	0.0014			12(2,10)-12(2,11),F=21/2-21/2	-10.72870		40.36970	58.08266	40.44122	58.18556	JPL
H2CCCHCN	Cyanoallene	2144.20440	0.0039			4(1,3)-4(1,4)	-8.47550		2.46710	3.54959	2.53862	3.65249	CDMS
HCCCH2NH2	Propargylamine	2144.34390	0.0033			47(6,41)-47(6,42)	-10.15280		360.53790	518.73430	360.60943	518.83721	CDMS
H2CCCHCN	Cyanoallene	2144.54400	0.0185			4(1,3)-4(1,4),F=4-4	-8.99710		2.46710	3.54959	2.53863	3.65251	CDMS
CH2OH13CHO	Glycolaldehyde	2144.70990	0.0026			34(5,29)-33(8,26)	-9.13230		244.04730	351.13191	244.11884	351.23484	CDMS
c-C6H5OH	Phenol	2145.22910	0.0004			15(6,9)-15(6,10),v=0-0	-11.19390		22.18990	31.92636	22.26146	32.02931	CDMS
c-C6H5OH	Phenol	2145.28700	0.0004			15(6,9)-15(6,10),v=1-1	-11.41370		22.19180	31.92909	22.26336	32.03205	CDMS
H2NCH2COOH-Iv=1	Glycine	2145.71370	1.2056			9(1,9)-8(2,6),F=9-8	-10.65760		81.51260	117.27777	81.58417	117.38075	JPL
g'G'g-CH3CHOHCH2OH	1,2-propanediol, g'G'g	2145.73790	0.0769			62(39,23)-63(38,26)	-9.97390		687.00960	988.46000	687.08117	988.56298	CDMS
g'G'g-CH3CHOHCH2OH	1,2-propanediol, g'G'g	2145.73790	0.0769			62(39,24)-63(38,25)	-9.97390		687.00960	988.46000	687.08117	988.56298	CDMS
C2H5NH2	Ethylamine	2146.24090	0.1149			24(5,19)-24(5,20), 0+	-8.97270		185.71790	267.20837	185.78949	267.31137	CDMS
G'Gg'gg'-CH2(OH)CH(OH)CH2OH	Glycerol	2146.27280	0.9667			39(15,25)-39(14,25)	-8.67560		162.78890	234.21844	162.86049	234.32144	CDMS
CH2CHCNv=0	Vinyl Cyanide	2146.58760	0.0003			21(3,18)-21(3,19),F=22-22	-8.68060		86.71430	124.76182	86.78590	124.86484	JPL
CH2CHCNv=0	Vinyl Cyanide	2146.58810	0.0003			21(3,18)-21(3,19),F=20-20	-8.72120		86.71430	124.76182	86.78590	124.86484	JPL
CH2CHCNv=0	Vinyl Cyanide	2146.59640	0.0002			21(3,18)-21(3,19),F=21-21	-8.70140		86.71430	124.76182	86.78590	124.86484	JPL
N17O	Nitric oxide	2146.70400	0.0159			J=9/2-9/2,&Omega;=1/2,F1=7/2+-5/2-,F2=9/2+-7/2-	-11.85470		39.01220	56.13022	39.08381	56.23325	CDMS
CH2NH	Methanimine	2147.00080	0.0007			22(5,17)-22(5,18)	-8.63160		678.15820	975.72473	678.22982	975.82777	CDMS
17OH	Hydroxyl radical	2148.49010	0.0033			N=1-1,J+1/2=3/2-3/2,p=-1-1,F1=2-1,F+1/2=7/2-7/2	-8.04520		0.00000	0.00000	0.07167	0.10311	JPL
NH2CH2CH2OHv26=1	Aminoethanol	2148.57870	0.0242			14(4,10)-15(1,14)	-11.97740		248.48730	357.51574	248.55897	357.61885	JPL
NH2CH2CH2OHv26+v27	Aminoethanol	2149.11530	11.3898			41(23,18)-42(22,20)	-11.58520		724.71470	1042.69680	724.78639	1042.79994	JPL
NH2CH2CH2OHv26+v27	Aminoethanol	2149.11530	11.3898			41(23,18)-42(22,21)	-10.90350		724.71470	1042.69680	724.78639	1042.79994	JPL
NH2CH2CH2OHv26+v27	Aminoethanol	2149.11530	11.3898			41(23,19)-42(22,20)	-10.90350		724.71470	1042.69680	724.78639	1042.79994	JPL
NH2CH2CH2OHv26+v27	Aminoethanol	2149.11530	11.3898			41(23,19)-42(22,21)	-11.58520		724.71470	1042.69680	724.78639	1042.79994	JPL
CH3OCHOv=0	Methyl Formate	2149.16500	0.0001			23(7,16)-23(7,17)A	-8.80770		136.54690	196.45940	136.61859	196.56254	JPL
15N17O	Nitric oxide	2149.19390	0.022			J=13/2-13/2,p=-1-1,F1=8-8,F2=8-8	-11.07420		75.24900	108.26723	75.32069	108.37038	CDMS
HNO3v9=1	Nitric acid	2149.56940	0.0023			15(13,2)-15(13,3),F=14-14	-8.95300		556.50970	800.68872	556.58140	800.79188	JPL
HNO3v9=1	Nitric acid	2149.57250	0.0022			15(13,2)-15(13,3),F=16-16	-8.89670		556.50970	800.68872	556.58140	800.79188	JPL
HNO3v9=1	Nitric acid	2149.61990	0.0025			15(13,2)-15(13,3),F=15-15	-8.92570		556.50970	800.68872	556.58140	800.79188	JPL
g'G'g-CH3CHOHCH2OH	1,2-propanediol, g'G'g	2149.66290	0.006			39(23,16)-38(24,14)	-9.51590		260.89540	375.37273	260.96711	375.47590	CDMS
g'G'g-CH3CHOHCH2OH	1,2-propanediol, g'G'g	2149.66290	0.006			39(23,16)-38(24,15)	-9.27480		260.89540	375.37273	260.96711	375.47590	CDMS
g'G'g-CH3CHOHCH2OH	1,2-propanediol, g'G'g	2149.66290	0.006			39(23,17)-38(24,14)	-9.27480		260.89540	375.37273	260.96711	375.47590	CDMS
g'G'g-CH3CHOHCH2OH	1,2-propanediol, g'G'g	2149.66290	0.006			39(23,17)-38(24,15)	-9.51590		260.89540	375.37273	260.96711	375.47590	CDMS
CH2CHNC	Vinyl Isocyanide	2150.24370	0.0113			31(4,27)-31(4,28)	-8.20270		194.73120	280.17315	194.80292	280.27634	JPL
13CH2OHCHO	Glycolaldehyde	2150.70530	0.0023			32(5,27)-31(8,24)	-9.10660		218.66470	314.61177	218.73644	314.71499	CDMS
g'Ga-(CH2OH)2	Ethylene Glycol	2151.18200	0.0055			24(6,19)v=1-24(6,18)v=0	-8.74510		115.55380	166.25519	115.62556	166.35843	CDMS
NH2CH2CH2OHv25=1	Aminoethanol	2151.18570	1.0858			53(14,40)-52(16,37)	-11.89990		852.43750	1226.46036	852.50926	1226.56360	JPL
N17O	Nitric oxide	2151.33180	0.0219			J=11/2-11/2,&Omega;=3/2,F1=15/2+-15/2-,F2=15/2+-15/2-	-11.23430		78.04950	112.29655	78.12126	112.39980	CDMS
H2NCH2COOH-Iv=1	Glycine	2151.93850	2.5782			21(3,19)-20(4,16),F=21-20	-10.47990		125.50130	180.56734	125.57308	180.67061	JPL
15N17O	Nitric oxide	2153.84970	0.02			J=11/2-11/2,p=1--1,F1=6-5,F2=6-5	-12.05990		54.86100	78.93326	54.93284	79.03662	CDMS
c-C5H5CH	Benzvalene	2154.09270	0.0215			3(2,1)-3(2,2)	-9.23010		2.20890	3.17814	2.28075	3.28152	CDMS
CHD(OH)CHO	Glycolaldehyde	2154.62810	0.004			19(9,11)-18(10,8)	-8.47470		102.31210	147.20525	102.38397	147.30865	CDMS
c-D2C3O	Cyclopropenone	2154.73730	0.0005			8(3,5)-8(3,6)	-7.58130		20.95070	30.14358	21.02257	30.24699	CDMS
g'G'g-CH3CHOHCH2OH	1,2-propanediol, g'G'g	2154.76700	0.0065			39(25,14)-40(24,16)	-9.56050		277.84200	399.75526	277.91388	399.85868	CDMS
g'G'g-CH3CHOHCH2OH	1,2-propanediol, g'G'g	2154.76700	0.0065			39(25,14)-40(24,17)	-9.31880		277.84200	399.75526	277.91388	399.85868	CDMS
g'G'g-CH3CHOHCH2OH	1,2-propanediol, g'G'g	2154.76700	0.0065			39(25,15)-40(24,16)	-9.31880		277.84200	399.75526	277.91388	399.85868	CDMS
g'G'g-CH3CHOHCH2OH	1,2-propanediol, g'G'g	2154.76700	0.0065			39(25,15)-40(24,17)	-9.56050		277.84200	399.75526	277.91388	399.85868	CDMS
N17O	Nitric oxide	2155.16380	0.0235			J=11/2-11/2,&Omega;=1/2,F1=11/2+-9/2-,F2=11/2+-9/2-	-12.08450		56.90320	81.87154	56.97509	81.97498	CDMS
n-C3H7CN,v=0	n-Butyronitrile, gauche/anti combined	2155.22640	0.0006			7(1,7)-7(0,7),gauche	-10.29030		5.45280	7.84541	5.52469	7.94885	CDMS
CH3CH2CH2CN-anti	Butyronitrile	2155.26320	0.0042			33(3,30)-33(3,31)	-9.01080		89.22820	128.37874	89.30009	128.48217	JPL
n-C3H7CN,v=0	n-Butyronitrile, gauche/anti combined	2155.26350	0.0017			33(3,30)-33(3,31),anti	-10.26380		129.35260	186.11075	129.42449	186.21419	CDMS
H35ClCO	Formyl Chloride	2155.42650	0.0393			76(7,70)-77(6,71),F=149/2-151/2	-10.42070		1270.22841	1827.56483	1270.30031	1827.66827	JPL
H35ClCO	Formyl Chloride	2155.42750	0.0393			76(7,70)-77(6,71),F=155/2-157/2	-10.40370		1270.22841	1827.56483	1270.30031	1827.66827	JPL
t-H13COOH	Formic Acid	2155.44210	0.0008			27(5,22)-27(5,23)	-8.63800		337.47160	485.54356	337.54350	485.64701	JPL
t-H13COOH	Formic Acid	2155.44240	0.0018			27(5,22)-27(5,23)	-8.62240		337.47160	485.54356	337.54350	485.64701	CDMS
HOONO	Peroxynitrous acid	2155.45690	0.0013			1(1,0)-1(1,1),F=1-0	-10.26810		0.90730	1.30539	0.97920	1.40884	JPL
13CH3CHO,vt&le;1	Acetaldehyde	2155.56960	0.0006			22(4,18)-22(4,19)A,vt=1	-8.91030		325.17320	467.85475	325.24510	467.95820	CDMS
CHD(OH)CHO	Glycolaldehyde	2155.61150	0.004			19(9,10)-18(10,9)	-8.47430		102.31210	147.20525	102.38400	147.30870	CDMS
H35ClCO	Formyl Chloride	2155.64550	0.0393			76(7,70)-77(6,71),F=151/2-153/2	-10.41490		1270.22801	1827.56425	1270.29991	1827.66771	JPL
H35ClCO	Formyl Chloride	2155.64660	0.0393			76(7,70)-77(6,71),F=153/2-155/2	-10.40930		1270.22801	1827.56425	1270.29991	1827.66771	JPL
g'G'g-CH3CHOHCH2OH	1,2-propanediol, g'G'g	2156.04140	0.0007			40(12,28)-40(12,29)	-9.94690		203.15670	292.29908	203.22862	292.40255	CDMS
gG'a-CH3CHOHCH2OH	1,2-propanediol, gG'a 	2156.33590	0.0048			69(16,54)-69(15,54)	-9.74370		575.31400	827.75390	575.38593	827.85739	CDMS
C6H	1,3,5-Hexatriynyl	2156.38200	21.0545			J=101/2,&Omega;=1/2,F=50-50,l=f-e	-9.70840		136.09330	195.80677	136.16523	195.91026	JPL
C6H	1,3,5-Hexatriynyl	2156.39830	21.0544			J=101/2,&Omega;=1/2,F=51-51,l=f-e	-9.69980		136.09330	195.80677	136.16523	195.91027	JPL
SHv=0	Mercapto radical			2156.49020	0.001	J=9/2,&Omega;=3/2,F=5--4+	-8.95600		193.62640	278.58360	193.69833	278.68709	JPL
SHv=0	Mercapto radical			2156.49020	0.001	N=4,J=9/2-9/2,p=-1-1,F=5-4	-8.95600		193.62620	278.58672	193.69813	278.69022	CDMS
HOONO	Peroxynitrous acid	2156.57540	0.0012			1(1,0)-1(1,1),F=0-1	-10.26740		0.90720	1.30525	0.97914	1.40875	JPL
HOONO	Peroxynitrous acid	2156.59440	0.0004			1(1,0)-1(1,1),F=2-2	-9.69350		0.90720	1.30525	0.97914	1.40875	JPL
c-C5H5N	Pyridine	2156.65300	0.0003			12(11,1)-12(11,2)	-7.85360		30.48670	43.86362	30.55864	43.96712	CDMS
CCCNv5=1	Cyanoethynyl	2156.99810	0.2036			J=27/2,&Omega;=3/2,l=f-e	-8.46990		179.93360	258.88282	180.00555	258.98634	CDMS
H2CO	Formaldehyde	2157.21750	0.0014			36(6,30)-36(6,31)	-10.93460		1911.09390	2749.62201	1911.16586	2749.72554	CDMS
H2CO	Formaldehyde	2157.21840	0.0021			36(6,30)-36(6,31)	-10.93490		1911.09360	2749.62158	1911.16556	2749.72511	JPL
HOONO	Peroxynitrous acid	2157.52660	0.0008			1(1,0)-1(1,1),F=1-2	-10.17030		0.90720	1.30525	0.97917	1.40880	JPL
NH2CH2CH2OHv25=1	Aminoethanol	2157.57240	0.0128			9(6,4)-10(5,5)	-10.73310		331.49390	476.94303	331.56587	477.04658	JPL
NH2CH2CH2OHv25=1	Aminoethanol	2157.65390	0.0128			9(6,3)-10(5,5)	-11.42220		331.49390	476.94303	331.56587	477.04658	JPL
c-C6H5OH	Phenol	2157.66200	0.0019			4(1,4)-3(2,1),v=1-0	-10.53290		1.36600	1.96537	1.43797	2.06892	CDMS
15N17O	Nitric oxide	2157.70120	0.0305			J=13/2-13/2,p=-1-1,F1=7-8,F2=8-9	-12.10490		75.25080	108.26982	75.32277	108.37337	CDMS
HOONO	Peroxynitrous acid	2157.97400	0.0008			1(1,0)-1(1,1),F=2-1	-10.17000		0.90720	1.30525	0.97918	1.40882	JPL
NO,v=1	Nitric oxide	2158.12960	0.0042			J=13/2-13/2,&Omega;=1/2,F=15/2+-13/2-	-15.91710		1933.96680	2782.56494	1934.03879	2782.66851	CDMS
c-HCOOD	Formic Acid	2158.25530	0.1243			53(7,46)-53(7,47)	-9.69520		1101.61731	1584.97246	1101.68930	1585.07604	JPL
SHv=0	Mercapto radical			2158.29860	0.001	J=9/2,&Omega;=3/2,F=4--4+	-7.31180		193.62640	278.58360	193.69839	278.68718	JPL
SHv=0	Mercapto radical			2158.29860	0.001	N=4,J=9/2-9/2,p=-1-1,F=4-4	-7.31180		193.62620	278.58672	193.69819	278.69031	CDMS
gG'a-CH3CHOHCH2OH	1,2-propanediol, gG'a 	2158.37700	0.0147			79(23,56)-79(23,57)	-9.35980		781.45640	1124.34876	781.52840	1124.45235	CDMS
NH3v=0	Ammonia	2158.64800	0.542			20(5)0a-20(5)0s	-14.52740		3963.00330	5701.84495	3963.07530	5701.94855	JPL
N18O	Nitric oxide	2158.72200	0.0339			J=57/2-57/2,&Omega;=1/2,F=59/2+-59/2-	-12.92930		1391.00930	2001.36512	1391.08131	2001.46873	CDMS
SHv=0	Mercapto radical			2158.72390	0.001	J=9/2,&Omega;=3/2,F=5--5+	-7.22270		193.62630	278.58345	193.69831	278.68705	JPL
SHv=0	Mercapto radical			2158.72390	0.001	N=4,J=9/2-9/2,p=-1-1,F=5-5	-7.22270		193.62610	278.58658	193.69811	278.69018	CDMS
HOONO	Peroxynitrous acid	2158.90620	0.0015			1(1,0)-1(1,1),F=1-1	-10.39150		0.90720	1.30525	0.97921	1.40886	JPL
